biotype,symbol,cytoband/0,name,gene_id,is_cancer_gene_census,cytoband/1,cytoband/2
protein_coding,MATN3,2p24.1,matrilin 3,ENSG00000132031,,,
protein_coding,UFSP2,4q35.1,UFM1-specific peptidase 2,ENSG00000109775,,,
protein_coding,SLC30A5,5q13.1,"solute carrier family 30 (zinc transporter), member 5",ENSG00000145740,,5q13.2,
protein_coding,TMEM243,7q21.12,"transmembrane protein 243, mitochondrial",ENSG00000135185,,,
protein_coding,TM4SF20,2q36.3,transmembrane 4 L six family member 20,ENSG00000168955,,,
protein_coding,SVIL,10p11.23,supervillin,ENSG00000197321,,,
protein_coding,CDC42,1p36.12,cell division cycle 42,ENSG00000070831,,,
protein_coding,DENND1B,1q31.3,DENN/MADD domain containing 1B,ENSG00000213047,,,
protein_coding,TCTA,3p21.31,T-cell leukemia translocation altered,ENSG00000145022,,,
protein_coding,NAA30,14q22.3,"N(alpha)-acetyltransferase 30, NatC catalytic subunit",ENSG00000139977,,,
protein_coding,IL12A,3q25.33,interleukin 12A,ENSG00000168811,,,
protein_coding,ABCG5,2p21,"ATP-binding cassette, sub-family G (WHITE), member 5",ENSG00000138075,,,
lincRNA,LINC00636,3q13.12,long intergenic non-protein coding RNA 636,ENSG00000240423,,,
protein_coding,CCDC36,3p21.31,coiled-coil domain containing 36,ENSG00000173421,,,
protein_coding,HIST1H1A,6p22.2,"histone cluster 1, H1a",ENSG00000124610,,,
protein_coding,SLC8A1,2p22.1,"solute carrier family 8 (sodium/calcium exchanger), member 1",ENSG00000183023,,,
protein_coding,CREBL2,12p13.1,cAMP responsive element binding protein-like 2,ENSG00000111269,,,
protein_coding,SRSF5,14q24.1,serine/arginine-rich splicing factor 5,ENSG00000100650,,,
protein_coding,CWF19L1,10q24.31,"CWF19-like 1, cell cycle control (S. pombe)",ENSG00000095485,,,
protein_coding,AZI2,3p24.1,5-azacytidine induced 2,ENSG00000163512,,,
protein_coding,SPC24,19p13.2,"SPC24, NDC80 kinetochore complex component",ENSG00000161888,,,
protein_coding,GATB,4q31.3,"glutamyl-tRNA(Gln) amidotransferase, subunit B",ENSG00000059691,,,
protein_coding,TACO1,17q23.3,translational activator of mitochondrially encoded cytochrome c oxidase I,ENSG00000136463,,,
protein_coding,MORN5,9q33.2,MORN repeat containing 5,ENSG00000185681,,,
protein_coding,GGCT,7p14.3,gamma-glutamylcyclotransferase,ENSG00000006625,,,
protein_coding,ADPRH,3q13.33,ADP-ribosylarginine hydrolase,ENSG00000144843,,,
protein_coding,MVB12B,9q33.3,multivesicular body subunit 12B,ENSG00000196814,,,
protein_coding,CHADL,22q13.2,chondroadherin-like,ENSG00000100399,,,
protein_coding,ZP2,16p12.3,zona pellucida glycoprotein 2 (sperm receptor),ENSG00000103310,,16p12.2,
protein_coding,CWC27,5q12.3,CWC27 spliceosome-associated protein homolog (S. cerevisiae),ENSG00000153015,,,
protein_coding,IAH1,2p25.1,isoamyl acetate-hydrolyzing esterase 1 homolog (S. cerevisiae),ENSG00000134330,,,
protein_coding,LYRM7,5q23.3,LYR motif containing 7,ENSG00000186687,,5q31.1,
protein_coding,PPARD,6p21.31,peroxisome proliferator-activated receptor delta,ENSG00000112033,,,
protein_coding,HOXA5,7p15.2,homeobox A5,ENSG00000106004,,,
protein_coding,ZNF514,2q11.1,zinc finger protein 514,ENSG00000144026,,,
protein_coding,PRAMEF17,1p36.21,PRAME family member 17,ENSG00000204479,,,
protein_coding,FOXG1,14q12,forkhead box G1,ENSG00000176165,,,
protein_coding,NAA20,20p11.23,"N(alpha)-acetyltransferase 20, NatB catalytic subunit",ENSG00000173418,,,
protein_coding,GLYAT,11q12.1,glycine-N-acyltransferase,ENSG00000149124,,,
protein_coding,IFNAR1,21q22.11,"interferon (alpha, beta and omega) receptor 1",ENSG00000142166,,,
protein_coding,DAZAP2,12q13.13,DAZ associated protein 2,ENSG00000183283,,,
protein_coding,DNAJB7,22q13.2,"DnaJ (Hsp40) homolog, subfamily B, member 7",ENSG00000172404,,,
protein_coding,MFSD3,8q24.3,major facilitator superfamily domain containing 3,ENSG00000167700,,,
protein_coding,RNF217,6q22.31,ring finger protein 217,ENSG00000146373,,,
protein_coding,FBXW7,4q31.3,"F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase",ENSG00000109670,true,,
protein_coding,AKIRIN2,6q15,akirin 2,ENSG00000135334,,,
protein_coding,PLSCR2,3q24,phospholipid scramblase 2,ENSG00000163746,,,
protein_coding,UEVLD,11p15.1,UEV and lactate/malate dehyrogenase domains,ENSG00000151116,,,
protein_coding,VTA1,6q24.1,vesicle (multivesicular body) trafficking 1,ENSG00000009844,,6q24.2,
protein_coding,KRTAP2-2,17q21.2,keratin associated protein 2-2,ENSG00000214518,,,
lincRNA,RP11-885B4.2,12p13.33,RP11-885B4.2,ENSG00000255669,,,
protein_coding,NPAS2,2q11.2,neuronal PAS domain protein 2,ENSG00000170485,,,
protein_coding,CACYBP,1q25.1,calcyclin binding protein,ENSG00000116161,,,
protein_coding,KLHL24,3q27.1,kelch-like family member 24,ENSG00000114796,,,
protein_coding,ACSL4,Xq23,acyl-CoA synthetase long-chain family member 4,ENSG00000068366,,,
TEC,LINC01101,2q14.2,long intergenic non-protein coding RNA 1101,ENSG00000280409,,,
protein_coding,HBA1,16p13.3,"hemoglobin, alpha 1",ENSG00000206172,,,
protein_coding,RBMXL1,1p22.2,"RNA binding motif protein, X-linked-like 1",ENSG00000213516,,,
protein_coding,CELSR1,22q13.31,"cadherin, EGF LAG seven-pass G-type receptor 1",ENSG00000075275,,,
protein_coding,MPI,15q24.1,mannose phosphate isomerase,ENSG00000178802,,15q24.2,
protein_coding,CACNB1,17q12,"calcium channel, voltage-dependent, beta 1 subunit",ENSG00000067191,,,
protein_coding,SH3RF3,2q13,SH3 domain containing ring finger 3,ENSG00000172985,,,
protein_coding,CLCA4,1p22.3,chloride channel accessory 4,ENSG00000016602,,,
protein_coding,NANP,20p11.21,N-acetylneuraminic acid phosphatase,ENSG00000170191,,,
protein_coding,FUT1,19q13.33,"fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group)",ENSG00000174951,,,
protein_coding,SFXN1,5q35.2,sideroflexin 1,ENSG00000164466,,,
protein_coding,KLHL7,7p15.3,kelch-like family member 7,ENSG00000122550,,,
protein_coding,PCDH19,Xq22.1,protocadherin 19,ENSG00000165194,,,
unprocessed_pseudogene,PSPHP1,7p11.2,phosphoserine phosphatase pseudogene 1,ENSG00000226278,,,
protein_coding,TNFSF13B,13q33.3,"tumor necrosis factor (ligand) superfamily, member 13b",ENSG00000102524,,,
protein_coding,THSD7A,7p21.3,"thrombospondin, type I, domain containing 7A",ENSG00000005108,,,
protein_coding,RNASE1,14q11.2,"ribonuclease, RNase A family, 1 (pancreatic)",ENSG00000129538,,,
protein_coding,ZZEF1,17p13.2,"zinc finger, ZZ-type with EF-hand domain 1",ENSG00000074755,,,
protein_coding,INPP5B,1p34.3,"inositol polyphosphate-5-phosphatase, 75kDa",ENSG00000204084,,,
protein_coding,BAHCC1,17q25.3,BAH domain and coiled-coil containing 1,ENSG00000266074,,,
protein_coding,OGFOD3,17q25.3,2-oxoglutarate and iron-dependent oxygenase domain containing 3,ENSG00000181396,,,
protein_coding,DYNLL2,17q22,"dynein, light chain, LC8-type 2",ENSG00000264364,,,
protein_coding,TRIM51,11q12.1,tripartite motif-containing 51,ENSG00000124900,,,
protein_coding,ALOX15,17p13.2,arachidonate 15-lipoxygenase,ENSG00000161905,,,
protein_coding,UNC119B,12q24.31,unc-119 homolog B (C. elegans),ENSG00000175970,,,
protein_coding,CDC73,1q31.2,cell division cycle 73,ENSG00000134371,true,,
protein_coding,DNAAF5,7p22.3,"dynein, axonemal, assembly factor 5",ENSG00000164818,,,
protein_coding,PCSK2,20p12.1,proprotein convertase subtilisin/kexin type 2,ENSG00000125851,,,
protein_coding,ABCA8,17q24.2,"ATP-binding cassette, sub-family A (ABC1), member 8",ENSG00000141338,,,
protein_coding,GOSR1,17q11.2,golgi SNAP receptor complex member 1,ENSG00000108587,,,
protein_coding,KIAA0195,17q25.1,KIAA0195,ENSG00000177728,,,
protein_coding,PLCB2,15q15.1,"phospholipase C, beta 2",ENSG00000137841,,,
protein_coding,CHN1,2q31.1,chimerin 1,ENSG00000128656,true,,
protein_coding,MRPL20,1p36.33,mitochondrial ribosomal protein L20,ENSG00000242485,,,
protein_coding,GSDMC,8q24.21,gasdermin C,ENSG00000147697,,,
protein_coding,ALKBH2,12q24.11,"alkB, alkylation repair homolog 2 (E. coli)",ENSG00000189046,,,
lincRNA,C7orf66,7q31.1,chromosome 7 open reading frame 66,ENSG00000205174,,,
protein_coding,GK2,4q21.21,glycerol kinase 2,ENSG00000196475,,,
protein_coding,BTN1A1,6p22.2,"butyrophilin, subfamily 1, member A1",ENSG00000124557,,,
protein_coding,PLD1,3q26.31,"phospholipase D1, phosphatidylcholine-specific",ENSG00000075651,,,
protein_coding,ATP8B1,18q21.31,"ATPase, aminophospholipid transporter, class I, type 8B, member 1",ENSG00000081923,,,
protein_coding,CCDC127,5p15.33,coiled-coil domain containing 127,ENSG00000164366,,,
protein_coding,KIF21B,1q32.1,kinesin family member 21B,ENSG00000116852,,,
protein_coding,IL21R,16p12.1,interleukin 21 receptor,ENSG00000103522,true,,
protein_coding,FLT3,13q12.2,fms-related tyrosine kinase 3,ENSG00000122025,true,,
protein_coding,LBP,20q11.23,lipopolysaccharide binding protein,ENSG00000129988,,,
protein_coding,BMPER,7p14.3,BMP binding endothelial regulator,ENSG00000164619,,,
snoRNA,SNORD114-22,14q32.31,"small nucleolar RNA, C/D box 114-22",ENSG00000202293,,,
protein_coding,SNX32,11q13.1,sorting nexin 32,ENSG00000172803,,,
protein_coding,DSC1,18q12.1,desmocollin 1,ENSG00000134765,,,
protein_coding,NPTX2,7q22.1,neuronal pentraxin II,ENSG00000106236,,,
protein_coding,SNRNP48,6p24.3,small nuclear ribonucleoprotein 48kDa (U11/U12),ENSG00000168566,,,
protein_coding,SLC9A8,20q13.13,"solute carrier family 9, subfamily A (NHE8, cation proton antiporter 8), member 8",ENSG00000197818,,,
protein_coding,ATP2A1,16p11.2,"ATPase, Ca++ transporting, cardiac muscle, fast twitch 1",ENSG00000196296,,,
protein_coding,CTD-2369P2.10,19p13.2,CTD-2369P2.10,ENSG00000167807,,,
protein_coding,MPP7,10p12.1,"membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)",ENSG00000150054,,,
protein_coding,PPP1R11,6p22.1,"protein phosphatase 1, regulatory (inhibitor) subunit 11",ENSG00000204619,,,
protein_coding,SLC29A2,11q13.2,"solute carrier family 29 (equilibrative nucleoside transporter), member 2",ENSG00000174669,,,
protein_coding,ZFAND2B,2q35,"zinc finger, AN1-type domain 2B",ENSG00000158552,,,
protein_coding,BTBD8,1p22.1,BTB (POZ) domain containing 8,ENSG00000189195,,,
protein_coding,GPR108,19p13.3,G protein-coupled receptor 108,ENSG00000125734,,,
transcribed_unprocessed_pseudogene,ROCK1P1,18p11.32,"Rho-associated, coiled-coil containing protein kinase 1 pseudogene 1",ENSG00000263006,,,
protein_coding,PDE1B,12q13.2,"phosphodiesterase 1B, calmodulin-dependent",ENSG00000123360,,,
protein_coding,CYLD,16q12.1,cylindromatosis (turban tumor syndrome),ENSG00000083799,true,,
protein_coding,ABCF3,3q27.1,"ATP-binding cassette, sub-family F (GCN20), member 3",ENSG00000161204,,,
protein_coding,TRABD2A,2p11.2,TraB domain containing 2A,ENSG00000186854,,,
protein_coding,FOLH1,11p11.12,folate hydrolase (prostate-specific membrane antigen) 1,ENSG00000086205,,,
protein_coding,TPRA1,3q21.3,"transmembrane protein, adipocyte asscociated 1",ENSG00000163870,,,
protein_coding,PLEKHG6,12p13.31,"pleckstrin homology domain containing, family G (with RhoGef domain) member 6",ENSG00000008323,,,
protein_coding,SULT1A4,16p11.2,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 4",ENSG00000213648,,,
protein_coding,KPNB1,17q21.32,karyopherin (importin) beta 1,ENSG00000108424,,,
protein_coding,STX16,20q13.32,syntaxin 16,ENSG00000124222,,,
protein_coding,PPAPDC3,9q34.13,phosphatidic acid phosphatase type 2 domain containing 3,ENSG00000160539,,,
protein_coding,POLD3,11q13.4,"polymerase (DNA-directed), delta 3, accessory subunit",ENSG00000077514,,,
protein_coding,PPTC7,12q24.11,PTC7 protein phosphatase homolog (S. cerevisiae),ENSG00000196850,,,
miRNA,AC078986.1,3q13.31,AC078986.1,ENSG00000264623,,,
protein_coding,CC2D1B,1p32.3,coiled-coil and C2 domain containing 1B,ENSG00000154222,,,
protein_coding,CLEC2L,7q34,"C-type lectin domain family 2, member L",ENSG00000236279,,,
protein_coding,DEFA6,8p23.1,"defensin, alpha 6, Paneth cell-specific",ENSG00000164822,,,
protein_coding,DESI1,22q13.2,desumoylating isopeptidase 1,ENSG00000100418,,,
unprocessed_pseudogene,RP11-1280N14.3,5q13.2,RP11-1280N14.3,ENSG00000251634,,,
protein_coding,FMO4,1q24.3,flavin containing monooxygenase 4,ENSG00000076258,,,
protein_coding,TMSB10,2p11.2,thymosin beta 10,ENSG00000034510,,,
protein_coding,GHITM,10q23.1,growth hormone inducible transmembrane protein,ENSG00000165678,,,
protein_coding,TAL1,1p33,T-cell acute lymphocytic leukemia 1,ENSG00000162367,true,,
protein_coding,P2RY2,11q13.4,"purinergic receptor P2Y, G-protein coupled, 2",ENSG00000175591,,,
protein_coding,RBM28,7q32.1,RNA binding motif protein 28,ENSG00000106344,,,
protein_coding,FAM189A1,15q13.1,"family with sequence similarity 189, member A1",ENSG00000104059,,,
protein_coding,ADM,11p15.4,adrenomedullin,ENSG00000148926,,,
protein_coding,MME,3q25.2,membrane metallo-endopeptidase,ENSG00000196549,,,
protein_coding,TIPIN,15q22.31,TIMELESS interacting protein,ENSG00000075131,,,
protein_coding,TUBB2A,6p25.2,"tubulin, beta 2A class IIa",ENSG00000137267,,,
protein_coding,DOK1,2p13.1,"docking protein 1, 62kDa (downstream of tyrosine kinase 1)",ENSG00000115325,,,
protein_coding,ATG5,6q21,autophagy related 5,ENSG00000057663,,,
macro_lncRNA,HELLPAR,12q23.2,HELLP associated long non-coding RNA,ENSG00000281344,,,
processed_pseudogene,FHP1,13q14.11,fumarate hydratase pseudogene 1,ENSG00000234213,,,
protein_coding,TBC1D8B,Xq22.3,"TBC1 domain family, member 8B (with GRAM domain)",ENSG00000133138,,,
protein_coding,OGFRL1,6q13,opioid growth factor receptor-like 1,ENSG00000119900,,,
protein_coding,MCOLN2,1p22.3,mucolipin 2,ENSG00000153898,,,
protein_coding,TBX10,11q13.2,T-box 10,ENSG00000167800,,,
protein_coding,MMP25,16p13.3,matrix metallopeptidase 25,ENSG00000008516,,,
protein_coding,KRTAP12-1,21q22.3,keratin associated protein 12-1,ENSG00000187175,,,
protein_coding,PDLIM3,4q35.1,PDZ and LIM domain 3,ENSG00000154553,,,
transcribed_unprocessed_pseudogene,RP11-299H22.3,15q22.2,RP11-299H22.3,ENSG00000166104,,,
protein_coding,OXTR,3p25.3,oxytocin receptor,ENSG00000180914,,,
protein_coding,TMEM235,17q25.3,transmembrane protein 235,ENSG00000204278,,,
protein_coding,MED18,1p35.3,mediator complex subunit 18,ENSG00000130772,,,
protein_coding,CNTN6,3p26.3,contactin 6,ENSG00000134115,,,
protein_coding,IL18BP,11q13.4,interleukin 18 binding protein,ENSG00000137496,,,
protein_coding,CACTIN,19p13.3,"cactin, spliceosome C complex subunit",ENSG00000105298,,,
protein_coding,OTOS,2q37.3,otospiralin,ENSG00000178602,,,
processed_pseudogene,RP11-342M1.7,1p34.2,RP11-342M1.7,ENSG00000233708,,,
protein_coding,PCNT,21q22.3,pericentrin,ENSG00000160299,,,
protein_coding,ACP2,11p11.2,"acid phosphatase 2, lysosomal",ENSG00000134575,,,
protein_coding,ZNF177,19p13.2,zinc finger protein 177,ENSG00000188629,,,
protein_coding,MUC3A,7q22.1,"mucin 3A, cell surface associated",ENSG00000169894,,,
protein_coding,GABRB3,15q12,"gamma-aminobutyric acid (GABA) A receptor, beta 3",ENSG00000166206,,,
lincRNA,LINC01168,10q26.3,long intergenic non-protein coding RNA 1168,ENSG00000240707,,,
protein_coding,CYCS,7p15.3,"cytochrome c, somatic",ENSG00000172115,,,
protein_coding,TP53TG5,20q13.12,TP53 target 5,ENSG00000124251,,,
protein_coding,COQ6,14q24.3,coenzyme Q6 monooxygenase,ENSG00000119723,,,
transcribed_unprocessed_pseudogene,EEF1DP3,13q13.1,eukaryotic translation elongation factor 1 delta pseudogene 3,ENSG00000229715,,,
lincRNA,LINC00987,12p13.31,long intergenic non-protein coding RNA 987,ENSG00000237248,,,
processed_pseudogene,RP11-79L9.2,3q22.3,RP11-79L9.2,ENSG00000174715,,,
protein_coding,PREP,6q21,prolyl endopeptidase,ENSG00000085377,,,
protein_coding,FAM83C,20q11.22,"family with sequence similarity 83, member C",ENSG00000125998,,,
protein_coding,ZNF26,12q24.33,zinc finger protein 26,ENSG00000198393,,,
protein_coding,CCDC101,16p11.2,coiled-coil domain containing 101,ENSG00000176476,,,
protein_coding,ANGPT2,8p23.1,angiopoietin 2,ENSG00000091879,,,
protein_coding,TCTEX1D1,1p31.3,Tctex1 domain containing 1,ENSG00000152760,,,
protein_coding,OR51G1,,"olfactory receptor, family 51, subfamily G, member 1 (gene/pseudogene)",ENSG00000176879,,,
protein_coding,CLDN4,7q11.23,claudin 4,ENSG00000189143,,,
protein_coding,CIITA,16p13.13,"class II, major histocompatibility complex, transactivator",ENSG00000179583,true,,
protein_coding,KCNQ1,11p15.5,"potassium channel, voltage gated KQT-like subfamily Q, member 1",ENSG00000053918,,11p15.4,
protein_coding,CHCHD5,2q14.1,coiled-coil-helix-coiled-coil-helix domain containing 5,ENSG00000125611,,,
protein_coding,ECT2,3q26.31,epithelial cell transforming 2,ENSG00000114346,,,
protein_coding,GLOD4,17p13.3,glyoxalase domain containing 4,ENSG00000167699,,,
protein_coding,ABI3BP,3q12.2,"ABI family, member 3 (NESH) binding protein",ENSG00000154175,,,
protein_coding,TPP1,11p15.4,tripeptidyl peptidase I,ENSG00000166340,,,
protein_coding,SPATA31A7,9q12,"SPATA31 subfamily A, member 7",ENSG00000276040,,,
protein_coding,PTPN1,20q13.13,"protein tyrosine phosphatase, non-receptor type 1",ENSG00000196396,,,
protein_coding,ASIC5,4q32.1,acid sensing (proton gated) ion channel family member 5,ENSG00000256394,,,
protein_coding,CFAP53,18q21.1,cilia and flagella associated protein 53,ENSG00000172361,,,
protein_coding,RANBP9,6p23,RAN binding protein 9,ENSG00000010017,,,
protein_coding,TNNT1,19q13.42,"troponin T type 1 (skeletal, slow)",ENSG00000105048,,,
protein_coding,CTNNAL1,9q31.3,"catenin (cadherin-associated protein), alpha-like 1",ENSG00000119326,,,
protein_coding,EPHA3,3p11.1,EPH receptor A3,ENSG00000044524,,,
processed_pseudogene,PLEKHA3P1,19q13.2,"pleckstrin homology domain containing, family A member 3 pseudogene 1",ENSG00000269800,,,
protein_coding,ABCA7,19p13.3,"ATP-binding cassette, sub-family A (ABC1), member 7",ENSG00000064687,,,
protein_coding,POLR3GL,1q21.1,polymerase (RNA) III (DNA directed) polypeptide G (32kD)-like,ENSG00000121851,,,
protein_coding,ASF1B,19p13.12,anti-silencing function 1B histone chaperone,ENSG00000105011,,,
protein_coding,DISC1,1q42.2,disrupted in schizophrenia 1,ENSG00000162946,,,
transcribed_processed_pseudogene,RP11-640N20.6,17q11.2,RP11-640N20.6,ENSG00000264164,,,
protein_coding,TRIM49,11q14.3,tripartite motif containing 49,ENSG00000168930,,,
protein_coding,SBSPON,8q21.11,"somatomedin B and thrombospondin, type 1 domain containing",ENSG00000164764,,,
protein_coding,SLC35B4,7q33,"solute carrier family 35 (UDP-xylose/UDP-N-acetylglucosamine transporter), member B4",ENSG00000205060,,,
protein_coding,MAK,6p24.2,male germ cell-associated kinase,ENSG00000111837,,,
protein_coding,JPH1,8q21.11,junctophilin 1,ENSG00000104369,,,
protein_coding,CMC2,16q23.2,C-x(9)-C motif containing 2,ENSG00000103121,,,
protein_coding,TMEM40,3p25.2,transmembrane protein 40,ENSG00000088726,,,
protein_coding,ATP1B1,1q24.2,"ATPase, Na+/K+ transporting, beta 1 polypeptide",ENSG00000143153,,,
protein_coding,HIST1H2BG,6p22.2,"histone cluster 1, H2bg",ENSG00000273802,,,
protein_coding,GABBR1,6p22.1,"gamma-aminobutyric acid (GABA) B receptor, 1",ENSG00000204681,,,
protein_coding,HTR3B,11q23.2,"5-hydroxytryptamine (serotonin) receptor 3B, ionotropic",ENSG00000149305,,,
IG_V_pseudogene,IGLV1-41,22q11.22,immunoglobulin lambda variable 1-41 (pseudogene),ENSG00000253818,,,
protein_coding,TRMT2A,22q11.21,tRNA methyltransferase 2 homolog A (S. cerevisiae),ENSG00000099899,,,
protein_coding,PLSCR1,3q24,phospholipid scramblase 1,ENSG00000188313,,,
protein_coding,PPCDC,15q24.2,phosphopantothenoylcysteine decarboxylase,ENSG00000138621,,,
protein_coding,FZD1,7q21.13,frizzled class receptor 1,ENSG00000157240,,,
protein_coding,TFDP2,3q23,transcription factor Dp-2 (E2F dimerization partner 2),ENSG00000114126,,,
protein_coding,FAM196A,10q26.2,"family with sequence similarity 196, member A",ENSG00000188916,,,
lincRNA,LINC00652,20p11.23,long intergenic non-protein coding RNA 652,ENSG00000179935,,,
protein_coding,IL17RB,3p21.1,interleukin 17 receptor B,ENSG00000056736,,,
lincRNA,C7orf71,7p15.2,chromosome 7 open reading frame 71,ENSG00000222004,,,
protein_coding,FBXO2,1p36.22,F-box protein 2,ENSG00000116661,,,
protein_coding,MZF1,19q13.43,myeloid zinc finger 1,ENSG00000099326,,,
protein_coding,NAA11,4q21.21,"N(alpha)-acetyltransferase 11, NatA catalytic subunit",ENSG00000156269,,,
TR_J_gene,TRAJ59,14q11.2,T cell receptor alpha joining 59 (non-functional),ENSG00000211832,,,
protein_coding,MAP1LC3B2,12q24.22,microtubule-associated protein 1 light chain 3 beta 2,ENSG00000258102,,,
protein_coding,GTF2H1,11p15.1,"general transcription factor IIH, polypeptide 1, 62kDa",ENSG00000110768,,,
protein_coding,CST1,20p11.21,cystatin SN,ENSG00000170373,,,
protein_coding,C1orf61,1q22,chromosome 1 open reading frame 61,ENSG00000125462,,,
protein_coding,OR8D1,11q24.2,"olfactory receptor, family 8, subfamily D, member 1",ENSG00000196341,,,
protein_coding,ZNF474,5q23.2,zinc finger protein 474,ENSG00000164185,,,
protein_coding,DNMT3A,2p23.3,DNA (cytosine-5-)-methyltransferase 3 alpha,ENSG00000119772,true,,
protein_coding,RSRP1,1p36.11,arginine/serine-rich protein 1,ENSG00000117616,,,
protein_coding,MTMR9,8p23.1,myotubularin related protein 9,ENSG00000104643,,,
protein_coding,OR1I1,19p13.12,"olfactory receptor, family 1, subfamily I, member 1",ENSG00000094661,,,
protein_coding,MSRB2,10p12.2,methionine sulfoxide reductase B2,ENSG00000148450,,,
miRNA,MIR550A3,7p14.3,microRNA 550a-3,ENSG00000212024,,,
