name,cytoband,gene_id,symbol,biotype
SH3 domain containing ring finger 3,2q13,ENSG00000172985,SH3RF3,protein_coding
chloride channel accessory 4,1p22.3,ENSG00000016602,CLCA4,protein_coding
N-acetylneuraminic acid phosphatase,20p11.21,ENSG00000170191,NANP,protein_coding
"fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group)",19q13.33,ENSG00000174951,FUT1,protein_coding
sideroflexin 1,5q35.2,ENSG00000164466,SFXN1,protein_coding
kelch-like family member 7,7p15.3,ENSG00000122550,KLHL7,protein_coding
protocadherin 19,Xq22.1,ENSG00000165194,PCDH19,protein_coding
"tumor necrosis factor (ligand) superfamily, member 13b",13q33.3,ENSG00000102524,TNFSF13B,protein_coding
"thrombospondin, type I, domain containing 7A",7p21.3,ENSG00000005108,THSD7A,protein_coding
"ribonuclease, RNase A family, 1 (pancreatic)",14q11.2,ENSG00000129538,RNASE1,protein_coding
"zinc finger, ZZ-type with EF-hand domain 1",17p13.2,ENSG00000074755,ZZEF1,protein_coding
"inositol polyphosphate-5-phosphatase, 75kDa",1p34.3,ENSG00000204084,INPP5B,protein_coding
BAH domain and coiled-coil containing 1,17q25.3,ENSG00000266074,BAHCC1,protein_coding
2-oxoglutarate and iron-dependent oxygenase domain containing 3,17q25.3,ENSG00000181396,OGFOD3,protein_coding
"dynein, light chain, LC8-type 2",17q22,ENSG00000264364,DYNLL2,protein_coding
tripartite motif-containing 51,11q12.1,ENSG00000124900,TRIM51,protein_coding
arachidonate 15-lipoxygenase,17p13.2,ENSG00000161905,ALOX15,protein_coding
unc-119 homolog B (C. elegans),12q24.31,ENSG00000175970,UNC119B,protein_coding
cell division cycle 73,1q31.2,ENSG00000134371,CDC73,protein_coding
"dynein, axonemal, assembly factor 5",7p22.3,ENSG00000164818,DNAAF5,protein_coding
proprotein convertase subtilisin/kexin type 2,20p12.1,ENSG00000125851,PCSK2,protein_coding
"ATP-binding cassette, sub-family A (ABC1), member 8",17q24.2,ENSG00000141338,ABCA8,protein_coding
golgi SNAP receptor complex member 1,17q11.2,ENSG00000108587,GOSR1,protein_coding
KIAA0195,17q25.1,ENSG00000177728,KIAA0195,protein_coding
"phospholipase C, beta 2",15q15.1,ENSG00000137841,PLCB2,protein_coding
chimerin 1,2q31.1,ENSG00000128656,CHN1,protein_coding
mitochondrial ribosomal protein L20,1p36.33,ENSG00000242485,MRPL20,protein_coding
gasdermin C,8q24.21,ENSG00000147697,GSDMC,protein_coding
"alkB, alkylation repair homolog 2 (E. coli)",12q24.11,ENSG00000189046,ALKBH2,protein_coding
chromosome 7 open reading frame 66,7q31.1,ENSG00000205174,C7orf66,lincRNA
glycerol kinase 2,4q21.21,ENSG00000196475,GK2,protein_coding
"butyrophilin, subfamily 1, member A1",6p22.2,ENSG00000124557,BTN1A1,protein_coding
"phospholipase D1, phosphatidylcholine-specific",3q26.31,ENSG00000075651,PLD1,protein_coding
"ATPase, aminophospholipid transporter, class I, type 8B, member 1",18q21.31,ENSG00000081923,ATP8B1,protein_coding
coiled-coil domain containing 127,5p15.33,ENSG00000164366,CCDC127,protein_coding
kinesin family member 21B,1q32.1,ENSG00000116852,KIF21B,protein_coding
interleukin 21 receptor,16p12.1,ENSG00000103522,IL21R,protein_coding
fms-related tyrosine kinase 3,13q12.2,ENSG00000122025,FLT3,protein_coding
lipopolysaccharide binding protein,20q11.23,ENSG00000129988,LBP,protein_coding
BMP binding endothelial regulator,7p14.3,ENSG00000164619,BMPER,protein_coding
sorting nexin 32,11q13.1,ENSG00000172803,SNX32,protein_coding
desmocollin 1,18q12.1,ENSG00000134765,DSC1,protein_coding
neuronal pentraxin II,7q22.1,ENSG00000106236,NPTX2,protein_coding
small nuclear ribonucleoprotein 48kDa (U11/U12),6p24.3,ENSG00000168566,SNRNP48,protein_coding
"solute carrier family 9, subfamily A (NHE8, cation proton antiporter 8), member 8",20q13.13,ENSG00000197818,SLC9A8,protein_coding
"ATPase, Ca++ transporting, cardiac muscle, fast twitch 1",16p11.2,ENSG00000196296,ATP2A1,protein_coding
CTD-2369P2.10,19p13.2,ENSG00000167807,CTD-2369P2.10,protein_coding
"membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)",10p12.1,ENSG00000150054,MPP7,protein_coding
"protein phosphatase 1, regulatory (inhibitor) subunit 11",6p22.1,ENSG00000204619,PPP1R11,protein_coding
"solute carrier family 29 (equilibrative nucleoside transporter), member 2",11q13.2,ENSG00000174669,SLC29A2,protein_coding
"zinc finger, AN1-type domain 2B",2q35,ENSG00000158552,ZFAND2B,protein_coding
BTB (POZ) domain containing 8,1p22.1,ENSG00000189195,BTBD8,protein_coding
G protein-coupled receptor 108,19p13.3,ENSG00000125734,GPR108,protein_coding
"Rho-associated, coiled-coil containing protein kinase 1 pseudogene 1",18p11.32,ENSG00000263006,ROCK1P1,transcribed_unprocessed_pseudogene
"phosphodiesterase 1B, calmodulin-dependent",12q13.2,ENSG00000123360,PDE1B,protein_coding
cylindromatosis (turban tumor syndrome),16q12.1,ENSG00000083799,CYLD,protein_coding
"ATP-binding cassette, sub-family F (GCN20), member 3",3q27.1,ENSG00000161204,ABCF3,protein_coding
TraB domain containing 2A,2p11.2,ENSG00000186854,TRABD2A,protein_coding
folate hydrolase (prostate-specific membrane antigen) 1,11p11.12,ENSG00000086205,FOLH1,protein_coding
"transmembrane protein, adipocyte asscociated 1",3q21.3,ENSG00000163870,TPRA1,protein_coding
"pleckstrin homology domain containing, family G (with RhoGef domain) member 6",12p13.31,ENSG00000008323,PLEKHG6,protein_coding
"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 4",16p11.2,ENSG00000213648,SULT1A4,protein_coding
karyopherin (importin) beta 1,17q21.32,ENSG00000108424,KPNB1,protein_coding
syntaxin 16,20q13.32,ENSG00000124222,STX16,protein_coding
phosphatidic acid phosphatase type 2 domain containing 3,9q34.13,ENSG00000160539,PPAPDC3,protein_coding
"polymerase (DNA-directed), delta 3, accessory subunit",11q13.4,ENSG00000077514,POLD3,protein_coding
PTC7 protein phosphatase homolog (S. cerevisiae),12q24.11,ENSG00000196850,PPTC7,protein_coding
coiled-coil and C2 domain containing 1B,1p32.3,ENSG00000154222,CC2D1B,protein_coding
"C-type lectin domain family 2, member L",7q34,ENSG00000236279,CLEC2L,protein_coding
"defensin, alpha 6, Paneth cell-specific",8p23.1,ENSG00000164822,DEFA6,protein_coding
desumoylating isopeptidase 1,22q13.2,ENSG00000100418,DESI1,protein_coding
RP11-1280N14.3,5q13.2,ENSG00000251634,RP11-1280N14.3,unprocessed_pseudogene
flavin containing monooxygenase 4,1q24.3,ENSG00000076258,FMO4,protein_coding
thymosin beta 10,2p11.2,ENSG00000034510,TMSB10,protein_coding
growth hormone inducible transmembrane protein,10q23.1,ENSG00000165678,GHITM,protein_coding
T-cell acute lymphocytic leukemia 1,1p33,ENSG00000162367,TAL1,protein_coding
"purinergic receptor P2Y, G-protein coupled, 2",11q13.4,ENSG00000175591,P2RY2,protein_coding
RNA binding motif protein 28,7q32.1,ENSG00000106344,RBM28,protein_coding
"family with sequence similarity 189, member A1",15q13.1,ENSG00000104059,FAM189A1,protein_coding
adrenomedullin,11p15.4,ENSG00000148926,ADM,protein_coding
membrane metallo-endopeptidase,3q25.2,ENSG00000196549,MME,protein_coding
TIMELESS interacting protein,15q22.31,ENSG00000075131,TIPIN,protein_coding
"tubulin, beta 2A class IIa",6p25.2,ENSG00000137267,TUBB2A,protein_coding
"docking protein 1, 62kDa (downstream of tyrosine kinase 1)",2p13.1,ENSG00000115325,DOK1,protein_coding
autophagy related 5,6q21,ENSG00000057663,ATG5,protein_coding
HELLP associated long non-coding RNA,12q23.2,ENSG00000281344,HELLPAR,macro_lncRNA
fumarate hydratase pseudogene 1,13q14.11,ENSG00000234213,FHP1,processed_pseudogene
"TBC1 domain family, member 8B (with GRAM domain)",Xq22.3,ENSG00000133138,TBC1D8B,protein_coding
opioid growth factor receptor-like 1,6q13,ENSG00000119900,OGFRL1,protein_coding
mucolipin 2,1p22.3,ENSG00000153898,MCOLN2,protein_coding
T-box 10,11q13.2,ENSG00000167800,TBX10,protein_coding
matrix metallopeptidase 25,16p13.3,ENSG00000008516,MMP25,protein_coding
keratin associated protein 12-1,21q22.3,ENSG00000187175,KRTAP12-1,protein_coding
PDZ and LIM domain 3,4q35.1,ENSG00000154553,PDLIM3,protein_coding
oxytocin receptor,3p25.3,ENSG00000180914,OXTR,protein_coding
transmembrane protein 235,17q25.3,ENSG00000204278,TMEM235,protein_coding
mediator complex subunit 18,1p35.3,ENSG00000130772,MED18,protein_coding
contactin 6,3p26.3,ENSG00000134115,CNTN6,protein_coding
interleukin 18 binding protein,11q13.4,ENSG00000137496,IL18BP,protein_coding
"cactin, spliceosome C complex subunit",19p13.3,ENSG00000105298,CACTIN,protein_coding
otospiralin,2q37.3,ENSG00000178602,OTOS,protein_coding
RP11-342M1.7,1p34.2,ENSG00000233708,RP11-342M1.7,processed_pseudogene
pericentrin,21q22.3,ENSG00000160299,PCNT,protein_coding
"acid phosphatase 2, lysosomal",11p11.2,ENSG00000134575,ACP2,protein_coding
zinc finger protein 177,19p13.2,ENSG00000188629,ZNF177,protein_coding
"mucin 3A, cell surface associated",7q22.1,ENSG00000169894,MUC3A,protein_coding
"gamma-aminobutyric acid (GABA) A receptor, beta 3",15q12,ENSG00000166206,GABRB3,protein_coding
"cytochrome c, somatic",7p15.3,ENSG00000172115,CYCS,protein_coding
TP53 target 5,20q13.12,ENSG00000124251,TP53TG5,protein_coding
coenzyme Q6 monooxygenase,14q24.3,ENSG00000119723,COQ6,protein_coding
eukaryotic translation elongation factor 1 delta pseudogene 3,13q13.1,ENSG00000229715,EEF1DP3,transcribed_unprocessed_pseudogene
long intergenic non-protein coding RNA 987,12p13.31,ENSG00000237248,LINC00987,lincRNA
prolyl endopeptidase,6q21,ENSG00000085377,PREP,protein_coding
"family with sequence similarity 83, member C",20q11.22,ENSG00000125998,FAM83C,protein_coding
zinc finger protein 26,12q24.33,ENSG00000198393,ZNF26,protein_coding
coiled-coil domain containing 101,16p11.2,ENSG00000176476,CCDC101,protein_coding
angiopoietin 2,8p23.1,ENSG00000091879,ANGPT2,protein_coding
Tctex1 domain containing 1,1p31.3,ENSG00000152760,TCTEX1D1,protein_coding
"olfactory receptor, family 51, subfamily G, member 1 (gene/pseudogene)",,ENSG00000176879,OR51G1,protein_coding
claudin 4,7q11.23,ENSG00000189143,CLDN4,protein_coding
"class II, major histocompatibility complex, transactivator",16p13.13,ENSG00000179583,CIITA,protein_coding
"potassium channel, voltage gated KQT-like subfamily Q, member 1",11p15.5,ENSG00000053918,KCNQ1,protein_coding
coiled-coil-helix-coiled-coil-helix domain containing 5,2q14.1,ENSG00000125611,CHCHD5,protein_coding
epithelial cell transforming 2,3q26.31,ENSG00000114346,ECT2,protein_coding
glyoxalase domain containing 4,17p13.3,ENSG00000167699,GLOD4,protein_coding
"ABI family, member 3 (NESH) binding protein",3q12.2,ENSG00000154175,ABI3BP,protein_coding
tripeptidyl peptidase I,11p15.4,ENSG00000166340,TPP1,protein_coding
"SPATA31 subfamily A, member 7",9q12,ENSG00000276040,SPATA31A7,protein_coding
"protein tyrosine phosphatase, non-receptor type 1",20q13.13,ENSG00000196396,PTPN1,protein_coding
acid sensing (proton gated) ion channel family member 5,4q32.1,ENSG00000256394,ASIC5,protein_coding
cilia and flagella associated protein 53,18q21.1,ENSG00000172361,CFAP53,protein_coding
RAN binding protein 9,6p23,ENSG00000010017,RANBP9,protein_coding
"troponin T type 1 (skeletal, slow)",19q13.42,ENSG00000105048,TNNT1,protein_coding
"catenin (cadherin-associated protein), alpha-like 1",9q31.3,ENSG00000119326,CTNNAL1,protein_coding
EPH receptor A3,3p11.1,ENSG00000044524,EPHA3,protein_coding
"ATP-binding cassette, sub-family A (ABC1), member 7",19p13.3,ENSG00000064687,ABCA7,protein_coding
polymerase (RNA) III (DNA directed) polypeptide G (32kD)-like,1q21.1,ENSG00000121851,POLR3GL,protein_coding
anti-silencing function 1B histone chaperone,19p13.12,ENSG00000105011,ASF1B,protein_coding
disrupted in schizophrenia 1,1q42.2,ENSG00000162946,DISC1,protein_coding
tripartite motif containing 49,11q14.3,ENSG00000168930,TRIM49,protein_coding
"somatomedin B and thrombospondin, type 1 domain containing",8q21.11,ENSG00000164764,SBSPON,protein_coding
"solute carrier family 35 (UDP-xylose/UDP-N-acetylglucosamine transporter), member B4",7q33,ENSG00000205060,SLC35B4,protein_coding
male germ cell-associated kinase,6p24.2,ENSG00000111837,MAK,protein_coding
junctophilin 1,8q21.11,ENSG00000104369,JPH1,protein_coding
C-x(9)-C motif containing 2,16q23.2,ENSG00000103121,CMC2,protein_coding
transmembrane protein 40,3p25.2,ENSG00000088726,TMEM40,protein_coding
"ATPase, Na+/K+ transporting, beta 1 polypeptide",1q24.2,ENSG00000143153,ATP1B1,protein_coding
"histone cluster 1, H2bg",6p22.2,ENSG00000273802,HIST1H2BG,protein_coding
"gamma-aminobutyric acid (GABA) B receptor, 1",6p22.1,ENSG00000204681,GABBR1,protein_coding
"5-hydroxytryptamine (serotonin) receptor 3B, ionotropic",11q23.2,ENSG00000149305,HTR3B,protein_coding
immunoglobulin lambda variable 1-41 (pseudogene),22q11.22,ENSG00000253818,IGLV1-41,IG_V_pseudogene
tRNA methyltransferase 2 homolog A (S. cerevisiae),22q11.21,ENSG00000099899,TRMT2A,protein_coding
phospholipid scramblase 1,3q24,ENSG00000188313,PLSCR1,protein_coding
phosphopantothenoylcysteine decarboxylase,15q24.2,ENSG00000138621,PPCDC,protein_coding
frizzled class receptor 1,7q21.13,ENSG00000157240,FZD1,protein_coding
transcription factor Dp-2 (E2F dimerization partner 2),3q23,ENSG00000114126,TFDP2,protein_coding
"family with sequence similarity 196, member A",10q26.2,ENSG00000188916,FAM196A,protein_coding
interleukin 17 receptor B,3p21.1,ENSG00000056736,IL17RB,protein_coding
chromosome 7 open reading frame 71,7p15.2,ENSG00000222004,C7orf71,lincRNA
F-box protein 2,1p36.22,ENSG00000116661,FBXO2,protein_coding
myeloid zinc finger 1,19q13.43,ENSG00000099326,MZF1,protein_coding
"N(alpha)-acetyltransferase 11, NatA catalytic subunit",4q21.21,ENSG00000156269,NAA11,protein_coding
microtubule-associated protein 1 light chain 3 beta 2,12q24.22,ENSG00000258102,MAP1LC3B2,protein_coding
"general transcription factor IIH, polypeptide 1, 62kDa",11p15.1,ENSG00000110768,GTF2H1,protein_coding
cystatin SN,20p11.21,ENSG00000170373,CST1,protein_coding
chromosome 1 open reading frame 61,1q22,ENSG00000125462,C1orf61,protein_coding
"olfactory receptor, family 8, subfamily D, member 1",11q24.2,ENSG00000196341,OR8D1,protein_coding
zinc finger protein 474,5q23.2,ENSG00000164185,ZNF474,protein_coding
DNA (cytosine-5-)-methyltransferase 3 alpha,2p23.3,ENSG00000119772,DNMT3A,protein_coding
arginine/serine-rich protein 1,1p36.11,ENSG00000117616,RSRP1,protein_coding
myotubularin related protein 9,8p23.1,ENSG00000104643,MTMR9,protein_coding
"olfactory receptor, family 1, subfamily I, member 1",19p13.12,ENSG00000094661,OR1I1,protein_coding
methionine sulfoxide reductase B2,10p12.2,ENSG00000148450,MSRB2,protein_coding
microRNA 550a-3,7p14.3,ENSG00000212024,MIR550A3,miRNA
"serpin peptidase inhibitor, clade B (ovalbumin), member 11 (gene/pseudogene)",18q21.33,ENSG00000206072,SERPINB11,protein_coding
RP11-403P17.5,16q21,ENSG00000260851,RP11-403P17.5,protein_coding
"secretoglobin, family 1C, member 1",11p15.5,ENSG00000188076,SCGB1C1,protein_coding
chromosome 2 open reading frame 66,2q33.1,ENSG00000187944,C2orf66,protein_coding
"protein phosphatase 1, regulatory subunit 7",2q37.3,ENSG00000115685,PPP1R7,protein_coding
ubiquitin specific peptidase 17-like family member 27,4p16.1,ENSG00000235780,USP17L27,protein_coding
Norrie disease (pseudoglioma),Xp11.3,ENSG00000124479,NDP,protein_coding
chromosome 3 open reading frame 84,3p21.31,ENSG00000236980,C3orf84,protein_coding
RP11-923I11.6,12q13.13,ENSG00000261586,RP11-923I11.6,lincRNA
"solute carrier family 9, subfamily A (NHE1, cation proton antiporter 1), member 1",1p36.11,ENSG00000090020,SLC9A1,protein_coding
thioredoxin domain containing 15,5q31.1,ENSG00000113621,TXNDC15,protein_coding
"pleckstrin homology domain containing, family O member 2",15q22.31,ENSG00000241839,PLEKHO2,protein_coding
"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3",7q22.1,ENSG00000106397,PLOD3,protein_coding
toll-like receptor 2,4q31.3,ENSG00000137462,TLR2,protein_coding
"family with sequence similarity 101, member A",12q24.31,ENSG00000178882,FAM101A,protein_coding
pentatricopeptide repeat domain 2,5q13.2,ENSG00000049883,PTCD2,protein_coding
"polymerase (DNA-directed), delta interacting protein 2",17q11.2,ENSG00000004142,POLDIP2,protein_coding
"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)",11p15.4,ENSG00000166313,APBB1,protein_coding
retinoblastoma 1,13q14.2,ENSG00000139687,RB1,protein_coding
proapoptotic nucleolar protein 1,11p15.5,ENSG00000274897,PANO1,protein_coding
"defensin, beta 104A",8p23.1,ENSG00000176782,DEFB104A,protein_coding
AC003005.4,19q13.43,ENSG00000268107,AC003005.4,protein_coding
"serpin peptidase inhibitor, clade B (ovalbumin), member 10",18q21.33,ENSG00000242550,SERPINB10,protein_coding
immunoglobulin kappa variable 3D-20,2p11.2,ENSG00000211625,IGKV3D-20,IG_V_gene
hypocretin (orexin) neuropeptide precursor,17q21.2,ENSG00000161610,HCRT,protein_coding
acyl-CoA binding domain containing 4,17q21.31,ENSG00000181513,ACBD4,protein_coding
BCDIN3 domain containing,12q13.12,ENSG00000186666,BCDIN3D,protein_coding
"protein phosphatase 1, regulatory subunit 16A",8q24.3,ENSG00000160972,PPP1R16A,protein_coding
Janus kinase and microtubule interacting protein 3,10q26.3,ENSG00000188385,JAKMIP3,protein_coding
AC015849.16,17q12,ENSG00000270977,AC015849.16,lincRNA
fat storage-inducing transmembrane protein 2,20q13.12,ENSG00000197296,FITM2,protein_coding
mediator complex subunit 6,14q24.2,ENSG00000133997,MED6,protein_coding
ectonucleoside triphosphate diphosphohydrolase 1,10q24.1,ENSG00000138185,ENTPD1,protein_coding
HID1 domain containing,17q25.1,ENSG00000167861,HID1,protein_coding
RANBP2-like and GRIP domain containing 5,2q13,ENSG00000015568,RGPD5,protein_coding
"taste receptor, type 2, member 1",5p15.31,ENSG00000169777,TAS2R1,protein_coding
zinc finger protein 385B,2q31.2,ENSG00000144331,ZNF385B,protein_coding
"solute carrier family 35, member F2",11q22.3,ENSG00000110660,SLC35F2,protein_coding
