name,cytoband,symbol,gene_id,biotype
"solute carrier family 9, subfamily A (NHE8, cation proton antiporter 8), member 8",20q13.13,SLC9A8,ENSG00000197818,protein_coding
"ATPase, Ca++ transporting, cardiac muscle, fast twitch 1",16p11.2,ATP2A1,ENSG00000196296,protein_coding
CTD-2369P2.10,19p13.2,CTD-2369P2.10,ENSG00000167807,protein_coding
"membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)",10p12.1,MPP7,ENSG00000150054,protein_coding
"protein phosphatase 1, regulatory (inhibitor) subunit 11",6p22.1,PPP1R11,ENSG00000204619,protein_coding
"solute carrier family 29 (equilibrative nucleoside transporter), member 2",11q13.2,SLC29A2,ENSG00000174669,protein_coding
"zinc finger, AN1-type domain 2B",2q35,ZFAND2B,ENSG00000158552,protein_coding
BTB (POZ) domain containing 8,1p22.1,BTBD8,ENSG00000189195,protein_coding
G protein-coupled receptor 108,19p13.3,GPR108,ENSG00000125734,protein_coding
"Rho-associated, coiled-coil containing protein kinase 1 pseudogene 1",18p11.32,ROCK1P1,ENSG00000263006,transcribed_unprocessed_pseudogene
"phosphodiesterase 1B, calmodulin-dependent",12q13.2,PDE1B,ENSG00000123360,protein_coding
cylindromatosis (turban tumor syndrome),16q12.1,CYLD,ENSG00000083799,protein_coding
"ATP-binding cassette, sub-family F (GCN20), member 3",3q27.1,ABCF3,ENSG00000161204,protein_coding
TraB domain containing 2A,2p11.2,TRABD2A,ENSG00000186854,protein_coding
folate hydrolase (prostate-specific membrane antigen) 1,11p11.12,FOLH1,ENSG00000086205,protein_coding
"transmembrane protein, adipocyte asscociated 1",3q21.3,TPRA1,ENSG00000163870,protein_coding
"pleckstrin homology domain containing, family G (with RhoGef domain) member 6",12p13.31,PLEKHG6,ENSG00000008323,protein_coding
"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 4",16p11.2,SULT1A4,ENSG00000213648,protein_coding
karyopherin (importin) beta 1,17q21.32,KPNB1,ENSG00000108424,protein_coding
syntaxin 16,20q13.32,STX16,ENSG00000124222,protein_coding
phosphatidic acid phosphatase type 2 domain containing 3,9q34.13,PPAPDC3,ENSG00000160539,protein_coding
"polymerase (DNA-directed), delta 3, accessory subunit",11q13.4,POLD3,ENSG00000077514,protein_coding
PTC7 protein phosphatase homolog (S. cerevisiae),12q24.11,PPTC7,ENSG00000196850,protein_coding
coiled-coil and C2 domain containing 1B,1p32.3,CC2D1B,ENSG00000154222,protein_coding
"C-type lectin domain family 2, member L",7q34,CLEC2L,ENSG00000236279,protein_coding
"defensin, alpha 6, Paneth cell-specific",8p23.1,DEFA6,ENSG00000164822,protein_coding
desumoylating isopeptidase 1,22q13.2,DESI1,ENSG00000100418,protein_coding
RP11-1280N14.3,5q13.2,RP11-1280N14.3,ENSG00000251634,unprocessed_pseudogene
flavin containing monooxygenase 4,1q24.3,FMO4,ENSG00000076258,protein_coding
thymosin beta 10,2p11.2,TMSB10,ENSG00000034510,protein_coding
growth hormone inducible transmembrane protein,10q23.1,GHITM,ENSG00000165678,protein_coding
T-cell acute lymphocytic leukemia 1,1p33,TAL1,ENSG00000162367,protein_coding
"purinergic receptor P2Y, G-protein coupled, 2",11q13.4,P2RY2,ENSG00000175591,protein_coding
RNA binding motif protein 28,7q32.1,RBM28,ENSG00000106344,protein_coding
"family with sequence similarity 189, member A1",15q13.1,FAM189A1,ENSG00000104059,protein_coding
adrenomedullin,11p15.4,ADM,ENSG00000148926,protein_coding
membrane metallo-endopeptidase,3q25.2,MME,ENSG00000196549,protein_coding
TIMELESS interacting protein,15q22.31,TIPIN,ENSG00000075131,protein_coding
"tubulin, beta 2A class IIa",6p25.2,TUBB2A,ENSG00000137267,protein_coding
"docking protein 1, 62kDa (downstream of tyrosine kinase 1)",2p13.1,DOK1,ENSG00000115325,protein_coding
autophagy related 5,6q21,ATG5,ENSG00000057663,protein_coding
HELLP associated long non-coding RNA,12q23.2,HELLPAR,ENSG00000281344,macro_lncRNA
fumarate hydratase pseudogene 1,13q14.11,FHP1,ENSG00000234213,processed_pseudogene
"TBC1 domain family, member 8B (with GRAM domain)",Xq22.3,TBC1D8B,ENSG00000133138,protein_coding
opioid growth factor receptor-like 1,6q13,OGFRL1,ENSG00000119900,protein_coding
mucolipin 2,1p22.3,MCOLN2,ENSG00000153898,protein_coding
T-box 10,11q13.2,TBX10,ENSG00000167800,protein_coding
matrix metallopeptidase 25,16p13.3,MMP25,ENSG00000008516,protein_coding
keratin associated protein 12-1,21q22.3,KRTAP12-1,ENSG00000187175,protein_coding
PDZ and LIM domain 3,4q35.1,PDLIM3,ENSG00000154553,protein_coding
oxytocin receptor,3p25.3,OXTR,ENSG00000180914,protein_coding
transmembrane protein 235,17q25.3,TMEM235,ENSG00000204278,protein_coding
mediator complex subunit 18,1p35.3,MED18,ENSG00000130772,protein_coding
contactin 6,3p26.3,CNTN6,ENSG00000134115,protein_coding
interleukin 18 binding protein,11q13.4,IL18BP,ENSG00000137496,protein_coding
"cactin, spliceosome C complex subunit",19p13.3,CACTIN,ENSG00000105298,protein_coding
otospiralin,2q37.3,OTOS,ENSG00000178602,protein_coding
RP11-342M1.7,1p34.2,RP11-342M1.7,ENSG00000233708,processed_pseudogene
pericentrin,21q22.3,PCNT,ENSG00000160299,protein_coding
"acid phosphatase 2, lysosomal",11p11.2,ACP2,ENSG00000134575,protein_coding
zinc finger protein 177,19p13.2,ZNF177,ENSG00000188629,protein_coding
"mucin 3A, cell surface associated",7q22.1,MUC3A,ENSG00000169894,protein_coding
"gamma-aminobutyric acid (GABA) A receptor, beta 3",15q12,GABRB3,ENSG00000166206,protein_coding
"cytochrome c, somatic",7p15.3,CYCS,ENSG00000172115,protein_coding
TP53 target 5,20q13.12,TP53TG5,ENSG00000124251,protein_coding
coenzyme Q6 monooxygenase,14q24.3,COQ6,ENSG00000119723,protein_coding
eukaryotic translation elongation factor 1 delta pseudogene 3,13q13.1,EEF1DP3,ENSG00000229715,transcribed_unprocessed_pseudogene
prolyl endopeptidase,6q21,PREP,ENSG00000085377,protein_coding
"family with sequence similarity 83, member C",20q11.22,FAM83C,ENSG00000125998,protein_coding
zinc finger protein 26,12q24.33,ZNF26,ENSG00000198393,protein_coding
coiled-coil domain containing 101,16p11.2,CCDC101,ENSG00000176476,protein_coding
angiopoietin 2,8p23.1,ANGPT2,ENSG00000091879,protein_coding
Tctex1 domain containing 1,1p31.3,TCTEX1D1,ENSG00000152760,protein_coding
"olfactory receptor, family 51, subfamily G, member 1 (gene/pseudogene)",,OR51G1,ENSG00000176879,protein_coding
claudin 4,7q11.23,CLDN4,ENSG00000189143,protein_coding
"class II, major histocompatibility complex, transactivator",16p13.13,CIITA,ENSG00000179583,protein_coding
"potassium channel, voltage gated KQT-like subfamily Q, member 1",11p15.5,KCNQ1,ENSG00000053918,protein_coding
coiled-coil-helix-coiled-coil-helix domain containing 5,2q14.1,CHCHD5,ENSG00000125611,protein_coding
epithelial cell transforming 2,3q26.31,ECT2,ENSG00000114346,protein_coding
glyoxalase domain containing 4,17p13.3,GLOD4,ENSG00000167699,protein_coding
"ABI family, member 3 (NESH) binding protein",3q12.2,ABI3BP,ENSG00000154175,protein_coding
tripeptidyl peptidase I,11p15.4,TPP1,ENSG00000166340,protein_coding
"SPATA31 subfamily A, member 7",9q12,SPATA31A7,ENSG00000276040,protein_coding
"protein tyrosine phosphatase, non-receptor type 1",20q13.13,PTPN1,ENSG00000196396,protein_coding
acid sensing (proton gated) ion channel family member 5,4q32.1,ASIC5,ENSG00000256394,protein_coding
cilia and flagella associated protein 53,18q21.1,CFAP53,ENSG00000172361,protein_coding
RAN binding protein 9,6p23,RANBP9,ENSG00000010017,protein_coding
"troponin T type 1 (skeletal, slow)",19q13.42,TNNT1,ENSG00000105048,protein_coding
"catenin (cadherin-associated protein), alpha-like 1",9q31.3,CTNNAL1,ENSG00000119326,protein_coding
EPH receptor A3,3p11.1,EPHA3,ENSG00000044524,protein_coding
"ATP-binding cassette, sub-family A (ABC1), member 7",19p13.3,ABCA7,ENSG00000064687,protein_coding
polymerase (RNA) III (DNA directed) polypeptide G (32kD)-like,1q21.1,POLR3GL,ENSG00000121851,protein_coding
anti-silencing function 1B histone chaperone,19p13.12,ASF1B,ENSG00000105011,protein_coding
disrupted in schizophrenia 1,1q42.2,DISC1,ENSG00000162946,protein_coding
tripartite motif containing 49,11q14.3,TRIM49,ENSG00000168930,protein_coding
"somatomedin B and thrombospondin, type 1 domain containing",8q21.11,SBSPON,ENSG00000164764,protein_coding
"solute carrier family 35 (UDP-xylose/UDP-N-acetylglucosamine transporter), member B4",7q33,SLC35B4,ENSG00000205060,protein_coding
male germ cell-associated kinase,6p24.2,MAK,ENSG00000111837,protein_coding
junctophilin 1,8q21.11,JPH1,ENSG00000104369,protein_coding
C-x(9)-C motif containing 2,16q23.2,CMC2,ENSG00000103121,protein_coding
transmembrane protein 40,3p25.2,TMEM40,ENSG00000088726,protein_coding
"ATPase, Na+/K+ transporting, beta 1 polypeptide",1q24.2,ATP1B1,ENSG00000143153,protein_coding
"histone cluster 1, H2bg",6p22.2,HIST1H2BG,ENSG00000273802,protein_coding
"gamma-aminobutyric acid (GABA) B receptor, 1",6p22.1,GABBR1,ENSG00000204681,protein_coding
"5-hydroxytryptamine (serotonin) receptor 3B, ionotropic",11q23.2,HTR3B,ENSG00000149305,protein_coding
immunoglobulin lambda variable 1-41 (pseudogene),22q11.22,IGLV1-41,ENSG00000253818,IG_V_pseudogene
tRNA methyltransferase 2 homolog A (S. cerevisiae),22q11.21,TRMT2A,ENSG00000099899,protein_coding
phospholipid scramblase 1,3q24,PLSCR1,ENSG00000188313,protein_coding
phosphopantothenoylcysteine decarboxylase,15q24.2,PPCDC,ENSG00000138621,protein_coding
frizzled class receptor 1,7q21.13,FZD1,ENSG00000157240,protein_coding
transcription factor Dp-2 (E2F dimerization partner 2),3q23,TFDP2,ENSG00000114126,protein_coding
"family with sequence similarity 196, member A",10q26.2,FAM196A,ENSG00000188916,protein_coding
interleukin 17 receptor B,3p21.1,IL17RB,ENSG00000056736,protein_coding
F-box protein 2,1p36.22,FBXO2,ENSG00000116661,protein_coding
myeloid zinc finger 1,19q13.43,MZF1,ENSG00000099326,protein_coding
"N(alpha)-acetyltransferase 11, NatA catalytic subunit",4q21.21,NAA11,ENSG00000156269,protein_coding
microtubule-associated protein 1 light chain 3 beta 2,12q24.22,MAP1LC3B2,ENSG00000258102,protein_coding
"general transcription factor IIH, polypeptide 1, 62kDa",11p15.1,GTF2H1,ENSG00000110768,protein_coding
cystatin SN,20p11.21,CST1,ENSG00000170373,protein_coding
chromosome 1 open reading frame 61,1q22,C1orf61,ENSG00000125462,protein_coding
"olfactory receptor, family 8, subfamily D, member 1",11q24.2,OR8D1,ENSG00000196341,protein_coding
zinc finger protein 474,5q23.2,ZNF474,ENSG00000164185,protein_coding
DNA (cytosine-5-)-methyltransferase 3 alpha,2p23.3,DNMT3A,ENSG00000119772,protein_coding
arginine/serine-rich protein 1,1p36.11,RSRP1,ENSG00000117616,protein_coding
myotubularin related protein 9,8p23.1,MTMR9,ENSG00000104643,protein_coding
"olfactory receptor, family 1, subfamily I, member 1",19p13.12,OR1I1,ENSG00000094661,protein_coding
methionine sulfoxide reductase B2,10p12.2,MSRB2,ENSG00000148450,protein_coding
"serpin peptidase inhibitor, clade B (ovalbumin), member 11 (gene/pseudogene)",18q21.33,SERPINB11,ENSG00000206072,protein_coding
RP11-403P17.5,16q21,RP11-403P17.5,ENSG00000260851,protein_coding
"secretoglobin, family 1C, member 1",11p15.5,SCGB1C1,ENSG00000188076,protein_coding
chromosome 2 open reading frame 66,2q33.1,C2orf66,ENSG00000187944,protein_coding
"protein phosphatase 1, regulatory subunit 7",2q37.3,PPP1R7,ENSG00000115685,protein_coding
ubiquitin specific peptidase 17-like family member 27,4p16.1,USP17L27,ENSG00000235780,protein_coding
Norrie disease (pseudoglioma),Xp11.3,NDP,ENSG00000124479,protein_coding
chromosome 3 open reading frame 84,3p21.31,C3orf84,ENSG00000236980,protein_coding
RP11-923I11.6,12q13.13,RP11-923I11.6,ENSG00000261586,lincRNA
"solute carrier family 9, subfamily A (NHE1, cation proton antiporter 1), member 1",1p36.11,SLC9A1,ENSG00000090020,protein_coding
thioredoxin domain containing 15,5q31.1,TXNDC15,ENSG00000113621,protein_coding
"pleckstrin homology domain containing, family O member 2",15q22.31,PLEKHO2,ENSG00000241839,protein_coding
"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3",7q22.1,PLOD3,ENSG00000106397,protein_coding
toll-like receptor 2,4q31.3,TLR2,ENSG00000137462,protein_coding
"family with sequence similarity 101, member A",12q24.31,FAM101A,ENSG00000178882,protein_coding
pentatricopeptide repeat domain 2,5q13.2,PTCD2,ENSG00000049883,protein_coding
"polymerase (DNA-directed), delta interacting protein 2",17q11.2,POLDIP2,ENSG00000004142,protein_coding
"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)",11p15.4,APBB1,ENSG00000166313,protein_coding
retinoblastoma 1,13q14.2,RB1,ENSG00000139687,protein_coding
proapoptotic nucleolar protein 1,11p15.5,PANO1,ENSG00000274897,protein_coding
"defensin, beta 104A",8p23.1,DEFB104A,ENSG00000176782,protein_coding
AC003005.4,19q13.43,AC003005.4,ENSG00000268107,protein_coding
"serpin peptidase inhibitor, clade B (ovalbumin), member 10",18q21.33,SERPINB10,ENSG00000242550,protein_coding
hypocretin (orexin) neuropeptide precursor,17q21.2,HCRT,ENSG00000161610,protein_coding
acyl-CoA binding domain containing 4,17q21.31,ACBD4,ENSG00000181513,protein_coding
BCDIN3 domain containing,12q13.12,BCDIN3D,ENSG00000186666,protein_coding
"protein phosphatase 1, regulatory subunit 16A",8q24.3,PPP1R16A,ENSG00000160972,protein_coding
Janus kinase and microtubule interacting protein 3,10q26.3,JAKMIP3,ENSG00000188385,protein_coding
AC015849.16,17q12,AC015849.16,ENSG00000270977,lincRNA
fat storage-inducing transmembrane protein 2,20q13.12,FITM2,ENSG00000197296,protein_coding
mediator complex subunit 6,14q24.2,MED6,ENSG00000133997,protein_coding
ectonucleoside triphosphate diphosphohydrolase 1,10q24.1,ENTPD1,ENSG00000138185,protein_coding
HID1 domain containing,17q25.1,HID1,ENSG00000167861,protein_coding
RANBP2-like and GRIP domain containing 5,2q13,RGPD5,ENSG00000015568,protein_coding
"taste receptor, type 2, member 1",5p15.31,TAS2R1,ENSG00000169777,protein_coding
zinc finger protein 385B,2q31.2,ZNF385B,ENSG00000144331,protein_coding
"solute carrier family 35, member F2",11q22.3,SLC35F2,ENSG00000110660,protein_coding
F-box and WD repeat domain containing 9,19p13.13,FBXW9,ENSG00000132004,protein_coding
CH17-335B8.4,10q11.22,CH17-335B8.4,ENSG00000279458,protein_coding
dorsal root ganglia homeobox,10q11.23,DRGX,ENSG00000165606,protein_coding
sorbitol dehydrogenase,15q21.1,SORD,ENSG00000140263,protein_coding
coiled-coil domain containing 14,3q21.1,CCDC14,ENSG00000175455,protein_coding
cell division cycle 25B,20p13,CDC25B,ENSG00000101224,protein_coding
survival motor neuron domain containing 1,10q25.2,SMNDC1,ENSG00000119953,protein_coding
chromosome 1 open reading frame 167,1p36.22,C1orf167,ENSG00000215910,protein_coding
CTD-3148I10.9,19q13.33,CTD-3148I10.9,ENSG00000269469,protein_coding
